idUd;anno;dd_numero;importo_oggetto;classe;ha_tabella_hdr
2573258;2023;DD 1133/2023;;impegno_perso;0
2570261;2023;DD 1130/2023;5496.26;impegno_perso;0
2573866;2023;DD 1131/2023;;impegno_perso;0
2575180;2023;DD 1129/2023;13500.0;senza_impegno;0
2571910;2023;DD 1120/2023;250000.0;senza_impegno;0
2571379;2023;DD 1117/2023;;senza_impegno;0
2571192;2023;DD 1115/2023;132.08;impegno_perso;1
2575120;2023;DD 1110/2023;20000.0;impegno_perso;0
2575070;2023;DD 1102/2023;1976.4;senza_impegno;0
2574922;2023;DD 1101/2023;;senza_impegno;0
2574890;2023;DD 1100/2023;;senza_impegno;0
2571782;2023;DD 1091/2023;;senza_impegno;0
2570698;2023;DD 1083/2023;15012.5;impegno_perso;1
2574758;2023;DD 1082/2023;;senza_impegno;0
2574596;2023;DD 1074/2023;2500.0;senza_impegno;0
2574637;2023;DD 1072/2023;;senza_impegno;0
2569469;2023;DD 1069/2023;;impegno_perso;0
2574610;2023;DD 1068/2023;25000.0;senza_impegno;0
2568978;2023;DD 1067/2023;;senza_impegno;0
2570281;2023;DD 1062/2023;153649.2;impegno_perso;0
2571866;2023;DD 1054/2023;75.0;impegno_perso;1
2573269;2023;DD 1048/2023;45000.0;impegno_perso;1
2574217;2023;DD 1041/2023;7500.0;senza_impegno;0
2574468;2023;DD 1040/2023;5200.0;senza_impegno;0
2571852;2023;DD 1039/2023;154327.8;senza_impegno;0
2574471;2023;DD 1038/2023;7000.0;senza_impegno;0
2573855;2023;DD 1032/2023;;impegno_perso;0
2573923;2023;DD 1023/2023;;impegno_perso;0
2574010;2023;DD 1022/2023;;impegno_perso;0
2574116;2023;DD 1018/2023;18000.0;senza_impegno;0
2574153;2023;DD 1016/2023;20000.0;impegno_perso;0
2574079;2023;DD 1015/2023;;senza_impegno;0
2573990;2023;DD 1013/2023;347000.0;senza_impegno;0
2573976;2023;DD 1008/2023;;impegno_perso;0
2573878;2023;DD 997/2023;;senza_impegno;0
2570819;2023;DD 970/2023;;impegno_perso;0
2573847;2023;DD 969/2023;124936.0;senza_impegno;0
2572833;2023;DD 966/2023;;impegno_perso;1
2572986;2023;DD 965/2023;15998166.67;impegno_perso;1
2573718;2023;DD 959/2023;;senza_impegno;0
2573659;2023;DD 958/2023;;senza_impegno;0
2571669;2023;DD 954/2023;;senza_impegno;0
2573369;2023;DD 950/2023;;impegno_perso;0
2571647;2023;DD 943/2023;;senza_impegno;0
2571387;2023;DD 942/2023;;impegno_perso;0
2573548;2023;DD 936/2023;712.43;impegno_perso;0
2571822;2023;DD 919/2023;;impegno_perso;0
2573046;2023;DD 899/2023;;senza_impegno;0
2572530;2023;DD 898/2023;;senza_impegno;0
1783668;2023;DD 890/2023;24844.93;senza_impegno;0
2573001;2023;DD 888/2023;29434.53;senza_impegno;0
2572979;2023;DD 886/2023;;senza_impegno;0
2568855;2023;DD 884/2023;;senza_impegno;0
2570225;2023;DD 882/2023;;impegno_perso;1
2572967;2023;DD 880/2023;;senza_impegno;0
2572900;2023;DD 875/2023;;senza_impegno;0
2571847;2023;DD 867/2023;67000.0;senza_impegno;0
2571846;2023;DD 866/2023;;senza_impegno;0
2572513;2023;DD 859/2023;;senza_impegno;0
2572514;2023;DD 855/2023;20000.0;senza_impegno;0
2571871;2023;DD 842/2023;14000.0;senza_impegno;0
2569435;2023;DD 818/2023;2745.0;impegno_perso;1
2570167;2023;DD 817/2023;19730.41;impegno_perso;0
2572150;2023;DD 807/2023;;impegno_perso;0
2571766;2023;DD 790/2023;;senza_impegno;0
2571697;2023;DD 782/2023;10000.0;impegno_perso;0
2571685;2023;DD 762/2023;21700.0;senza_impegno;0
2570791;2023;DD 761/2023;;impegno_perso;0
2585876;2023;DD 2525/2023;2526720.0;impegno_perso;1
2588055;2023;DD 2521/2023;;senza_impegno;0
2588080;2023;DD 2520/2023;;senza_impegno;0
2587954;2023;DD 2515/2023;;senza_impegno;0
2585624;2023;DD 2513/2023;221560.7;impegno_perso;0
2587479;2023;DD 2507/2023;;senza_impegno;0
2584862;2023;DD 2492/2023;;senza_impegno;0
2584620;2023;DD 2491/2023;;senza_impegno;0
2584605;2023;DD 2489/2023;;senza_impegno;0
2587687;2023;DD 2486/2023;;senza_impegno;0
2587797;2023;DD 2484/2023;;senza_impegno;0
2578609;2023;DD 2482/2023;;impegno_perso;1
2587609;2023;DD 2481/2023;40000.0;impegno_perso;0
2585423;2023;DD 2466/2023;;impegno_perso;0
2583006;2023;DD 2446/2023;297.0;senza_impegno;0
2587584;2023;DD 2445/2023;;senza_impegno;0
2587426;2023;DD 2443/2023;;impegno_perso;0
2583633;2023;DD 2428/2023;11172.28;impegno_perso;1
2587175;2023;DD 2420/2023;;senza_impegno;0
2587376;2023;DD 2419/2023;;senza_impegno;0
2587399;2023;DD 2415/2023;;impegno_perso;0
2585969;2023;DD 2393/2023;;impegno_perso;0
2586675;2023;DD 2370/2023;;impegno_perso;0
2570000;2023;DD 2347/2023;;senza_impegno;0
2586578;2023;DD 2336/2023;7500.0;senza_impegno;0
2586781;2023;DD 2335/2023;149000.0;senza_impegno;0
2584292;2023;DD 2334/2023;262244.0;impegno_perso;1
2585392;2023;DD 2333/2023;;senza_impegno;0
2584613;2023;DD 2314/2023;;impegno_perso;0
2586563;2023;DD 2302/2023;35000.0;impegno_perso;0
2582375;2023;DD 2291/2023;455287.35;impegno_perso;0
2582453;2023;DD 2287/2023;33364.0;impegno_perso;1
2586370;2023;DD 2286/2023;;impegno_perso;0
2586402;2023;DD 2285/2023;;senza_impegno;0
2586367;2023;DD 2284/2023;;senza_impegno;0
2586137;2023;DD 2278/2023;;senza_impegno;0
2585156;2023;DD 2277/2023;200000.0;impegno_perso;0
2585459;2023;DD 2273/2023;;senza_impegno;0
2586223;2023;DD 2257/2023;1000.0;senza_impegno;0
2586108;2023;DD 2258/2023;46000.0;senza_impegno;0
2585141;2023;DD 2254/2023;2983.4;senza_impegno;0
2585607;2023;DD 2224/2023;;impegno_perso;0
2585768;2023;DD 2214/2023;300.0;senza_impegno;0
2585764;2023;DD 2213/2023;320.0;senza_impegno;0
2585537;2023;DD 2212/2023;;senza_impegno;0
2585269;2023;DD 2211/2023;;senza_impegno;0
2585031;2023;DD 2206/2023;;impegno_perso;0
2584756;2023;DD 2193/2023;300.0;impegno_perso;1
2585312;2023;DD 2187/2023;;senza_impegno;0
2585282;2023;DD 2178/2023;12000.0;senza_impegno;0
2585345;2023;DD 2177/2023;3000.0;senza_impegno;0
2585308;2023;DD 2172/2023;351.5;senza_impegno;0
2585516;2023;DD 2171/2023;87255.37;senza_impegno;0
2584976;2023;DD 2160/2023;4500.0;impegno_perso;0
2584791;2023;DD 2151/2023;250.0;impegno_perso;1
2580719;2023;DD 2146/2023;2250.0;impegno_perso;1
2585158;2023;DD 2140/2023;;senza_impegno;0
2585139;2023;DD 2139/2023;;senza_impegno;0
2585090;2023;DD 2130/2023;;senza_impegno;0
2583200;2023;DD 2125/2023;;impegno_perso;0
2582124;2023;DD 2123/2023;26000.0;impegno_perso;1
2585017;2023;DD 2122/2023;;senza_impegno;0
2577870;2023;DD 2118/2023;;impegno_perso;0
2584139;2023;DD 2113/2023;15000.0;senza_impegno;0
2583952;2023;DD 2111/2023;10000.0;senza_impegno;0
2584836;2023;DD 2101/2023;;senza_impegno;0
2584739;2023;DD 2099/2023;;senza_impegno;0
2583694;2023;DD 2098/2023;;senza_impegno;0
2583846;2023;DD 2090/2023;54900.0;impegno_perso;1
2578153;2023;DD 2087/2023;29280.0;impegno_perso;1
2583668;2023;DD 2072/2023;551.57;impegno_perso;1
2578599;2023;DD 2071/2023;;senza_impegno;0
2583841;2023;DD 2069/2023;;impegno_perso;0
2584216;2023;DD 2068/2023;31783000.0;impegno_perso;0
2584384;2023;DD 2065/2023;18000.0;impegno_perso;0
2582288;2023;DD 2048/2023;572.05;impegno_perso;1
2583965;2023;DD 2046/2023;60000.0;senza_impegno;0
2581392;2023;DD 2039/2023;2427.8;impegno_perso;1
