idUd;dd_numero;data_atto;cig;n_cig;importo_oggetto_max;oggetto;idPubblicazione;idDocPrimario;nroAllegati
2663019;DD 895/2025;Feb 14, 2025, 12:00:00 AM;;0;;C.3  - ASSEGNAZIONE SPAZI  PALESTRA IMPIANTO POLISPORTIVO TRECATE  -  CONCESSIONE A TITOLO ONEROSO CON RIDUZIONE DEL 50% SULLE TARIFFE  IN FAVORE DELL'A.S.D. KOLBE. ;2663019;3521383;
2665203;DD 898/2025;Feb 14, 2025, 12:00:00 AM;;0;;OGGETTO: C. 3 - ASSEGNAZIONE, A TITOLO GRATUITO, LOCALE CIRCOSCRIZIONALE EX INFORMA 3 SITO IN CORSO PESCHIERA 193, A FAVORE DELL'ASSOCIAZIONE IDEADONNA ONLUS. APPROVAZIONE. SCHEMA DI CONVENZIONE IN ESECUZIONE DELIBERAZIONE DELCI3 69 DEL 19/12/2024;2665203;3524235;
2665208;DD 905/2025;Feb 14, 2025, 12:00:00 AM;;0;;"C.3 - CONCESSIONE PER PERIODO CONTINUATIVO A TITOLO GRATUITO, SALONE 1 DI VIA DE SANCTIS 12, SALONE DI VIA MORETTA 57/A, UFFICIO RECEPTION E UFFICIO 2 DI VIA VIGONE 76/B FAVORE DI ASSOCIAZIONE ESSERCI SCS; APPROVAZIONE AI SENSI DEL REGOLAMENTO 186.";2665208;3524242;
2663046;DD 903/2025;Feb 14, 2025, 12:00:00 AM;;0;;"C.3 - CONCESSIONE PER PERIODO CONTINUATIVO A TITOLO GRATUITO, UFFICI 1- 2- 3- 5 DI VIA DALL'ONGARO 2/D  FAVORE DI ASSOCIAZIONE OBIETTIVO FAMIGLIA ODV; APPROVAZIONE AI SENSI DEL REGOLAMENTO 186.";2663046;3521421;
2665210;DD 911/2025;Feb 14, 2025, 12:00:00 AM;;0;;"C.3 - CONCESSIONE PER PERIODO CONTINUATIVO A TITOLO GRATUITO, EX VENCHI UNICA IN VIA FRANCESCO DE SANCTIS 12 FAVORE DI A.C.S.D. SCUOLA E SPORT ENDAS TORINO; APPROVAZIONE AI SENSI DEL REGOLAMENTO 186.";2665210;3524245;
2663056;DD 906/2025;Feb 14, 2025, 12:00:00 AM;;0;;"C.3 - CONCESSIONE PER PERIODO CONTINUATIVO A TITOLO ONEROSO, SALONE DI CORSO PESCHIERA 364 A FAVORE DI ASSOCIAZIONE COMPAGNI DI VIAGGIO; APPROVAZIONE AI SENSI DEL REGOLAMENTO 186.";2663056;3521432;
2663049;DD 912/2025;Feb 14, 2025, 12:00:00 AM;;0;;"C.3 - CONCESSIONE PER PERIODO CONTINUATIVO A TITOLO GRATUITO, SALONE DI VIA MORETTA 55 BIS E VIA MORETTA 57 FAVORE DI ASSOCIAZIONE DISKOLE' APS; APPROVAZIONE AI SENSI DEL REGOLAMENTO 186.";2663049;3521424;
2665211;DD 907/2025;Feb 14, 2025, 12:00:00 AM;;0;;"C.3 - CONCESSIONE PER PERIODO CONTINUATIVO A TITOLO ONEROSO, SALONE DI CORSO PESCHIERA 364 E SALONE VIA MORETTA 57 A FAVORE DI PHOENIX SABER A.S.D; APPROVAZIONE AI SENSI DEL REGOLAMENTO 186.";2665211;3524246;
2665205;DD 901/2025;Feb 14, 2025, 12:00:00 AM;;0;;OGGETTO: C. 3 - ASSEGNAZIONE, A TITOLO GRATUITO, LOCALE CIRCOSCRIZIONALE EX INFORMA 3 SITO IN CORSO PESCHIERA 193, A FAVORE DEL CONSORZIO IDEA AGENZIA PER IL LAVORO SOCIETA' COOP. SOCIALE. APPROVAZIONE. SCHEMA DI CONVENZIONE IN ESECUZIONE DELIBERAZIONE DELCI3 69 DEL 19/12/2024;2665205;3524239;
2665197;DD 904/2025;Feb 14, 2025, 12:00:00 AM;;0;;"C.3 - CONCESSIONE PER PERIODO CONTINUATIVO A TITOLO ONEROSO, SALONE 1 VIA DE SANCTIS 12 A FAVORE DI GRUPPO ASSOCIATIVO SAVI; APPROVAZIONE AI SENSI DEL REGOLAMENTO 186.";2665197;3524224;
2665195;DD 902/2025;Feb 14, 2025, 12:00:00 AM;;0;;C.3 - CONCESSIONE PER PERIODO RICORRENTE A TITOLO ONEROSO, SALONE 2 DI VIA DE SANCTIS 12, A FAVORE DI GRUPPO CAPORALES SAN SIMON USA-FILIAL TORINO. APPROVAZIONE AI SENSI DEL REGOLAMENTO 186. ;2665195;3524221;
2663011;DD 900/2025;Feb 14, 2025, 12:00:00 AM;;0;;OGGETTO: C. 3 - ASSEGNAZIONE, A TITOLO GRATUITO, LOCALE CIRCOSCRIZIONALE EX INFORMA 3 SITO IN CORSO PESCHIERA 193, A FAVORE DELL'ASSOCIAZIONE FAMIGLIE ACCOGLIENTI APS. APPROVAZIONE. SCHEMA DI CONVENZIONE IN ESECUZIONE DELIBERAZIONE DELCI3 69 DEL 19/12/2024;2663011;3521372;
2663062;DD 913/2025;Feb 14, 2025, 12:00:00 AM;;0;299.8;S.F.E.P. - LINEE DI INDIRIZZO NAZIONALI ''INTEGRAZIONI AL PROGETTO SULLA BASE DEGLI ADEGUAMENTI INTERVENUTI NEL CORSO DEL PRIMO TRIENNIO DI SPERIMENTAZIONE'' SPERIMENTAZIONE NAZIONALE CARE LEAVERS COORTE 2 SECONDO CICLO. AFFIDAMENTO INCARICHI IN ESECUZIONE D.D. 8940/2024. VARIAZIONE IN MENO ACCERTAMENTO DELL'ENTRATA AL CAPITOLO 009700000001 DEL BILANCIO 2024 E NUOVO ACCERTAMENTO DEL BILANCIO 2026. AFFIDAMENTO INCARICHI E IMPEGNO DI SPESA DI EURO 299,80= PARZIALMENTE FINANZIATA CUP C11H22000390001.;2663062;3521440;
2663026;DD 894/2025;Feb 14, 2025, 12:00:00 AM;B59E4859CD;1;14352.69;SERVIZIO DI ASSISTENZA E PULIZIA PER NIDI E SCUOLE D'INFANZIA. INDIZIONE ED AFFIDAMENTO DIRETTO. ESECUZIONE D'URGENZA. IMPEGNO DI SPESA DI EURO 14.352,69= IVA INCLUSA (CIG B59E4859CD).;2663026;3521393;
2663027;DD 893/2025;Feb 14, 2025, 12:00:00 AM;;0;;ACCERTAMENTO DELL'ENTRATA (EX ART. 179 D. LGS. 267/2000 TUEL). FONDO DI INCENTIVAZIONE FUNZIONI TECNICHE - LAVORI PUBBLICI 80% E FONDO INNOVAZIONE 20% - ART 113 D. LGS 50/2016;2663027;3521395;
2663065;DD 892/2025;Feb 14, 2025, 12:00:00 AM;;0;849.31;ACCERTAMENTO DELL'ENTRATA (EX ART. 179 D.LGS. 267/2000 TUEL) DI EURO 849,31 RELATIVA ALLA LITE N. 331/2024 (RM).;2663065;3521445;
2663007;DD 891/2025;Feb 14, 2025, 12:00:00 AM;;0;;"PNNR MISSIONE 1 - COMPONENTE 1 - ASSE 1, MISURA 1.7.2 ""RETE DI SERVIZI DI FACILITAZIONE DIGITALE"". MODIFICA CRONOPROGRAMMA E VARIAZIONE IN MENO ACCERTAMENTO DELL'ENTRATA AL CAPITOLO 11610013001 DEL BILANCIO 2024 E VARIAZIONE IN AUMENTO ACCERTAMENTO DELL'ENTRATA AL CAPITOLO 11610013001, DEL BILANCIO 2025 - CUP C19I23000440006. . (EX ART. 179 D. LGS. 267/2000 TUEL). NEI CONFRONTI DI REGIONE PIEMONTE.  ";2663007;3521366;
2665199;DD 890/2025;Feb 14, 2025, 12:00:00 AM;B5730BA716;1;;"AFFIDAMENTO DIRETTO M.E.P.A. AI SENSI DELL'ART. 50, COMMA 1, LETTERA B) DEL D.LGS. 36/2023 E S.M.I. PER IL SERVIZIO DI SCARICO, INSTALLAZIONE, MANUTENZIONE, SMONTAGGIO E TRASPORTO IN ALTRO LUOGO DEL MANUFATTO DENOMINATO ""HASHTAG""; DI PROPRIETA' DELLA CITTA' DI TORINO, QUALE CITTA' VINCITRICE DEL PREMIO EUROPEAN CAPITAL OF SMART TOURISM 2025 A FAVORE DELLA DITTA GRANDISCHERMI SRL. INDIZIONE E IMPEGNO DI SPESA 9.760 EURO IVA AL 22% INCLUSA. CIG B5730BA716";2665199;3524227;
2663031;DD 889/2025;Feb 14, 2025, 12:00:00 AM;;0;;VARIAZIONE ACCERTAMENTO DI ENTRATA AL CAPITOLO 033850002002 DEL BILANCIO 2024 PER L'IMPORTO COMPLESSIVO DI EURO  116.14= E ACCERTAMENTO DI ENTRATA DI PARI IMPORTO SUL BILANCIO 2025  ;2663031;3521400;
2663014;DD 888/2025;Feb 14, 2025, 12:00:00 AM;;0;;ACCERTAMENTO DELL'ENTRATA AL CAPITOLO 23700000012 DEL BILANCIO 2025, CANONI DI CONCESSIONE PNRR(EX ART. 179 D. LGS. 267/2000 TUEL).    ;2663014;3521375;
