dd_numero;capitolo;anno_imp;importo;missione;missione_nome;programma;macro;denominazione;match
DD 2083/2025;020100006001;2028;29.993,83;01;Servizi istituzionali, generali e di gestione;11;3;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - NOLEGGIO AUTOMOTOVEICOLI - settore 055;exact
DD 2083/2025;020100006001;2029;29.993,83;01;Servizi istituzionali, generali e di gestione;11;3;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - NOLEGGIO AUTOMOTOVEICOLI - settore 055;exact
DD 2083/2025;020100006001;2030;34.028,93;01;Servizi istituzionali, generali e di gestione;11;3;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - NOLEGGIO AUTOMOTOVEICOLI - settore 055;exact
DD 2137/2025;068300001002;2025;417.693,78;08;Assetto del territorio ed edilizia abitativa;1;3;URBANISTICA - ACQUISTO DI SERVIZI - ATTIVITA' DI REVISIONE PRG - settore 125;exact
DD 2141/2025;118630008003;2025;1.556.388,76;01;Servizi istituzionali, generali e di gestione;8;2;SISTEMI INFORMATIVI - PN METRO PLUS - DIGITALIZZAZIONE E CHANGE MANAGEMENT - TO1.1.2.1.C - VEDASI CAP.032500002001 ENTRATA - SETT.27;exact
DD 2182/2025;034300009001;2025;38.900,00;03;Ordine pubblico e sicurezza;1;3;P0LIZIA MUNICIPALE - PRESTAZIONI DI SERVIZI - FORMAZIONE ED AGGIORNAMENTO PERSONALE POLIZIA MUNICIPALE - VEDASI CAP. 8700000 ENTRATA - settore 048;exact
DD 2182/2025;008700000001;2025;38.900,00;01;Servizi istituzionali, generali e di gestione;3;10;ERARIO C/I.V.A. - I.V.A. A DEBITO - settore 024;exact
DD 2187/2025;002610001001;2025;11.956,00;01;Servizi istituzionali, generali e di gestione;11;3;ALTRI SERVIZI GENERALI - ACQUISTO BENI DI CONSUMO - CARTA CANCELLERIA E STAMPATI - settore 005;exact
DD 2188/2025;009800001001;2025;12.148,00;01;Servizi istituzionali, generali e di gestione;11;3;ALTRI SERVIZI GENERALI - NOLEGGIO FOTOCOPIATORI E MACCHINE VARIE PER UFFICIO - settore 005;exact
DD 2188/2025;009800001001;2030;12.148,00;01;Servizi istituzionali, generali e di gestione;11;3;ALTRI SERVIZI GENERALI - NOLEGGIO FOTOCOPIATORI E MACCHINE VARIE PER UFFICIO - settore 005;exact
DD 2188/2025;009800001001;2025;9.855,15;01;Servizi istituzionali, generali e di gestione;11;3;ALTRI SERVIZI GENERALI - NOLEGGIO FOTOCOPIATORI E MACCHINE VARIE PER UFFICIO - settore 005;exact
DD 2223/2025;118630008004;2025;175.989,60;01;Servizi istituzionali, generali e di gestione;8;2;SISTEMI INFORMATIVI - PN METRO PLUS - CONDIVISIONE TRASPARENZA E GOVERNO DATI -TO1.1.2.1.D - VEDASI CAP.032500002001 ENTRATA - SETT.27;exact
DD 2235/2025;002610006001;2025;9.000,00;01;Servizi istituzionali, generali e di gestione;11;3;ALTRI SERVIZI GENERALI - ACQUISTO BENI DI CONSUMO - DISPOSITIVI ANTI- COVID - settore 005;exact
DD 2244/2025;028300002002;2025;31.476,00;01;Servizi istituzionali, generali e di gestione;1;3;COMUNICAZIONE ISTITUZIONALE ED INFORMAZIONE - SPESE PUBBLICITARIE A CARATTERE ISTITUZIONALE - QUOTIDIANI E PERIODICI - LEGGE N. 122/2010 - ART. 6 COMMA 8 - settore 001;exact
