cig;dd_numeri;capitoli;missioni;denominazioni_capitoli
B62F287B39;DD 3166/2025|DD 6048/2025|DD 8623/2025;;;
B60338CD0E;DD 1773/2025;122900009003;03;APP. AVANZO TRASFERIMENTI - POLIZIA MUNICIPALE - ACQUISTI - ATTREZZ. TECN.HARDWARE PER RETI DI RADIOCOMUNICAZIONE - SISTEMI DI TELECOMUNICAZIONE E SICUREZZA - VEDASI CAP. 37450022 E - settore 48
B67039FE7B;DD 4276/2025;136100018001;06;IMPIANTI SPORTIVI - MANUTENZIONE STRAORDINARIA - MONUMENTO DELL'HEYSEL - VEDASI CAP. 34460002 ENTRATA - sett. 062
B65D5C01D9;DD 2506/2025;108500002001;01;ORGANI ISTITUZIONALI PARTECIPAZIONE E DECENTRAMENTO - MANUTENZIONE STRAORDINARIA - settore 030
B5F89C9590;DD 2310/2025;118630008003;01;SISTEMI INFORMATIVI - PN METRO PLUS - DIGITALIZZAZIONE E CHANGE MANAGEMENT - TO1.1.2.1.C - VEDASI CAP.032500002001 ENTRATA - SETT.27
B6634618F1;DD 3586/2025;113800009001;01;PNRR M5C2-I2.2 CUP C12F22000100001 PIU A10 - MANUTENZIONE STRAORDINARIA E RIQUALIFICAZIONE EDIFICI VIA FREJUS 21 E VIA BIXIO 56 - VEDASI CAP. 31520008 ENTRATA - SETT. 30
B69E8EDCF1;DD 4709/2025|DD 5794/2025;108500002001;01;ORGANI ISTITUZIONALI PARTECIPAZIONE E DECENTRAMENTO - MANUTENZIONE STRAORDINARIA - settore 030
B663F6D6AF;DD 2247/2025;;;
B660ED08BE;DD 5445/2025;157600004002;12;PNRR M5C2-I2.2 CUP C12F22000080001 PIU A11 - MANUTENZIONE STRAORDINARIA CENTRI PROTAGONISMO GIOVANILE L'ISOLA CHE NON C'E' E CENTRO DENTRO - VEDASI CAP. 31520008 ENTRATA - SETT. 30
B6A2D3AA06;DD 2954/2025;078400002001;09;VERDE PUBBLICO - ACQUISTO DI SERVIZI - POTATURE, INTERVENTI DENDROLOGICI, MANUTENZIONE VERDE VERTICALE - settore 046
